E[1] [eV],Im(eps)_ecutwfc_30,Im(eps)_ecutwfc_40,Im(eps)_ecutwfc_50,Im(eps)_ecutwfc_60,Im(eps)_ecutwfc_70,Im(eps)_ecutwfc_80,Im(eps)_ecutwfc_90,Im(eps)_ecutwfc_100
11.353380,0.08831500,0.12166700,0.07826000,0.07816200,0.08305900,0.08481000,0.08518800,0.08543900
11.390980,0.08598400,0.12735700,0.08224700,0.07518100,0.07846500,0.07932900,0.07953600,0.07968100
11.428570,0.08910200,0.12847800,0.08645600,0.07620400,0.07757300,0.07811400,0.07823400,0.07831700
11.466160,0.09576300,0.12489000,0.09162500,0.08087800,0.08006900,0.08034300,0.08041200,0.08046400
11.503760,0.10100900,0.11733900,0.09794100,0.08877200,0.08657400,0.08642700,0.08642400,0.08643600
11.541350,0.10122600,0.10963800,0.10287700,0.09865600,0.09560000,0.09517200,0.09511200,0.09509000
11.578950,0.09857200,0.10585200,0.10453200,0.10614800,0.10288600,0.10228500,0.10218900,0.10213800
11.616540,0.09790700,0.10738700,0.10488800,0.10792800,0.10610200,0.10531200,0.10517400,0.10508800
11.654130,0.10249700,0.11207100,0.10603300,0.10772200,0.10763900,0.10715700,0.10704600,0.10697100
11.691730,0.11289100,0.11636900,0.10758700,0.10941100,0.10911800,0.10935400,0.10939600,0.10942000
11.729320,0.12694200,0.11844600,0.10876400,0.10986100,0.10928600,0.10942600,0.10951700,0.10958400
11.766920,0.13996000,0.11893100,0.11249300,0.10522200,0.10646800,0.10615600,0.10613700,0.10612800
11.804510,0.14902100,0.11824200,0.11901000,0.09920400,0.10217200,0.10227600,0.10226700,0.10225500
11.842100,0.15533900,0.11765400,0.12431400,0.09689600,0.09841100,0.09932600,0.09947000,0.09956200
11.879700,0.16319000,0.11858800,0.12701500,0.09893800,0.09694000,0.09779900,0.09800400,0.09815400
11.917290,0.17429900,0.11919800,0.12739100,0.10460200,0.09994000,0.09978200,0.09983200,0.09989000
11.954890,0.18911700,0.12007300,0.12733800,0.11515200,0.10741800,0.10649100,0.10636700,0.10631000
11.992480,0.20849400,0.12257400,0.12775900,0.12948400,0.11813400,0.11648700,0.11622500,0.11608300
12.030070,0.23251900,0.12546100,0.12738400,0.14090100,0.13030600,0.12766700,0.12719300,0.12691400
12.067670,0.25717600,0.13084500,0.12815000,0.14515600,0.13997600,0.13758000,0.13706200,0.13673500
12.105260,0.27823200,0.14107100,0.13066500,0.14503000,0.14552800,0.14463600,0.14438500,0.14421600
12.142860,0.29659300,0.15340000,0.13404700,0.14447300,0.14929100,0.14970000,0.14973000,0.14975000
12.180450,0.31165200,0.16532600,0.13939000,0.14622400,0.15305000,0.15460100,0.15488800,0.15507900
12.218040,0.32632200,0.17825600,0.14848800,0.15237500,0.15929400,0.16101000,0.16138800,0.16164800
12.255640,0.33754900,0.19366100,0.16462000,0.16558700,0.17058000,0.17219300,0.17250900,0.17272100
12.293230,0.34017300,0.20718200,0.19100500,0.18613500,0.18882100,0.19027100,0.19054600,0.19072400
12.330830,0.33719500,0.21412600,0.22300100,0.21181200,0.21518000,0.21608800,0.21626900,0.21639000
12.368420,0.33667300,0.22230500,0.24842800,0.23696300,0.24178000,0.24290200,0.24310700,0.24323600
12.406010,0.34675100,0.23877500,0.26383600,0.25589900,0.25924900,0.26053600,0.26080900,0.26098500
12.443610,0.36770600,0.26410600,0.27471900,0.27348100,0.27313600,0.27405800,0.27428300,0.27442500
12.481200,0.39179200,0.29544800,0.27745100,0.29109100,0.28815600,0.28822400,0.28832300,0.28838100
12.518800,0.41266000,0.31881700,0.27373300,0.30248200,0.29849800,0.29760800,0.29751700,0.29744400
12.556390,0.42380500,0.33175500,0.27258800,0.30924900,0.30484800,0.30331300,0.30305800,0.30286900
12.593980,0.41943800,0.34276500,0.27244000,0.30981900,0.30764100,0.30569400,0.30529600,0.30501200
12.631580,0.40828300,0.34736800,0.27682700,0.30445000,0.30977200,0.30861000,0.30830300,0.30807600
12.669170,0.40453100,0.34542000,0.28990700,0.30388500,0.32062000,0.32143500,0.32147500,0.32147800
12.706770,0.42216800,0.35152700,0.30600400,0.31617700,0.33728600,0.34169500,0.34237100,0.34278100
12.744360,0.46520200,0.37133100,0.31700600,0.33366300,0.34846900,0.35450200,0.35566500,0.35642000
12.781950,0.53232900,0.39545100,0.32941200,0.34960400,0.35523100,0.35930900,0.36023100,0.36083800
12.819550,0.62492800,0.41726800,0.35631000,0.37239900,0.37295900,0.37407800,0.37442200,0.37462900
12.857140,0.73214700,0.44685300,0.39696200,0.40481900,0.40821600,0.40765000,0.40755500,0.40743900
12.894740,0.81829800,0.49799200,0.44547000,0.44455600,0.45425600,0.45475200,0.45472500,0.45461400
12.932330,0.86010400,0.56962800,0.50139000,0.49326600,0.50688000,0.50940000,0.50978800,0.50992400
12.969920,0.87016800,0.65124400,0.56954400,0.56213400,0.57488100,0.57805500,0.57865600,0.57890900
13.007520,0.87568100,0.73663500,0.65787000,0.65542700,0.66095900,0.66287900,0.66332600,0.66346500
13.045110,0.89881600,0.82107300,0.76557500,0.76361100,0.75644100,0.75540400,0.75534300,0.75515200
13.082710,0.95265900,0.90722400,0.87324400,0.87778300,0.85505800,0.85075700,0.85005400,0.84946500
13.120300,1.03032100,0.97497700,0.95957200,0.99106100,0.95604900,0.94873600,0.94744700,0.94647500
13.157890,1.10669800,1.00399300,1.01995200,1.08470500,1.05105400,1.04096600,1.03917600,1.03789900
13.195490,1.14545900,1.01478900,1.03963100,1.10272100,1.08888500,1.07954800,1.07773700,1.07650400
13.233080,1.13545300,1.02320600,1.00488200,1.04492900,1.05559100,1.05292400,1.05224400,1.05174800
13.270670,1.10217400,1.01991700,0.96833800,1.00106100,1.01900400,1.02292600,1.02370600,1.02413300
13.308270,1.08665000,0.99999600,0.97524800,1.01192200,1.02248700,1.02730000,1.02846800,1.02914800
13.345860,1.12752600,0.99979900,0.99572600,1.02645600,1.03812600,1.04090300,1.04167800,1.04216500
13.383460,1.20637300,1.04319900,0.98842600,0.99659800,1.02222900,1.02537500,1.02600400,1.02640600
13.421050,1.23322100,1.09643200,0.97801000,0.96846700,0.99763600,1.00373600,1.00479900,1.00540100
13.458640,1.17889100,1.11328800,1.01366700,0.98838300,1.00325800,1.00903600,1.01014400,1.01072900
13.496240,1.11660100,1.10588400,1.09062800,1.03303700,1.02760300,1.02969600,1.03028000,1.03058300
13.533830,1.10165500,1.11988300,1.14760000,1.05872000,1.03936000,1.03792000,1.03789600,1.03789400
13.571430,1.14973600,1.16788700,1.15816800,1.06765200,1.04034500,1.03599700,1.03539200,1.03504600
13.609020,1.24567200,1.23852900,1.16284800,1.09445900,1.06042400,1.05300700,1.05178700,1.05104100
13.646620,1.35514200,1.29443000,1.19681300,1.15498400,1.11791100,1.10802400,1.10632700,1.10523600
13.684210,1.43957600,1.30393300,1.25920500,1.23835800,1.20949900,1.19888200,1.19698700,1.19565300
13.721800,1.46638400,1.30563100,1.31147700,1.31282400,1.30266400,1.29517100,1.29369700,1.29249300
13.759400,1.42925500,1.32943500,1.30735500,1.34844600,1.36371100,1.36372400,1.36347700,1.36305200
13.796990,1.39083400,1.36028800,1.27277800,1.33278700,1.36287600,1.37101200,1.37245800,1.37329700
13.834590,1.40141800,1.39081200,1.26445000,1.28935200,1.31653200,1.32534200,1.32722300,1.32854200
13.872180,1.42813900,1.42230400,1.29043900,1.26340100,1.27431300,1.27936700,1.28063500,1.28161200
13.909770,1.39597700,1.40902900,1.34939600,1.28550700,1.26999500,1.26909600,1.26928000,1.26949800
13.947370,1.31223700,1.33974000,1.42753300,1.35114100,1.31043800,1.30319000,1.30203500,1.30126100
13.984960,1.25811000,1.29667300,1.46037200,1.41343900,1.37157100,1.36089200,1.35901500,1.35774000
14.022560,1.27192300,1.32238600,1.41747400,1.43752300,1.42643800,1.41972500,1.41843100,1.41754900
14.060150,1.33730000,1.35432500,1.35543400,1.43019400,1.45206300,1.45538700,1.45589600,1.45621600
14.097740,1.40837500,1.35250700,1.29515900,1.39199100,1.41943500,1.42716700,1.42862200,1.42962800
14.135340,1.42271000,1.34226900,1.22569300,1.32747100,1.34991600,1.35538100,1.35639800,1.35714800
14.172930,1.37926600,1.32660500,1.18227200,1.25071500,1.28757600,1.29319200,1.29411000,1.29487400
