E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
9.887218,1.20068000,1.18887200,1.18923600,1.18654300,1.18784300,1.18765600,1.18764200,1.18763600
9.924811,1.20453300,1.18946900,1.18954700,1.18759600,1.18995800,1.19015600,1.19019100,1.19020900
9.962406,1.21025300,1.19287100,1.18811800,1.18713100,1.18987600,1.19045900,1.19056100,1.19061800
9.999999,1.21735100,1.19703100,1.18764900,1.18790400,1.19042900,1.19126100,1.19140800,1.19149300
10.037590,1.22279400,1.20421600,1.19440100,1.19355500,1.19424300,1.19497000,1.19511000,1.19519300
10.075190,1.22187600,1.21582300,1.20561700,1.20273000,1.20115400,1.20121500,1.20125300,1.20127300
10.112780,1.21637100,1.22756900,1.21347900,1.21017600,1.20744500,1.20686900,1.20679600,1.20674400
10.150380,1.21158600,1.23420200,1.21389200,1.21185700,1.20953100,1.20875000,1.20863500,1.20855300
10.187970,1.21082000,1.23534300,1.21207000,1.21012900,1.20855600,1.20790600,1.20780100,1.20772300
10.225560,1.21470700,1.23454500,1.21205700,1.20867100,1.20654500,1.20614100,1.20607400,1.20602300
10.263160,1.22288100,1.23262300,1.21197900,1.20919100,1.20601200,1.20568300,1.20564800,1.20562200
10.300750,1.23381300,1.23140800,1.21357000,1.21363500,1.21022400,1.20970700,1.20964600,1.20960700
10.338350,1.24637000,1.23394500,1.21987500,1.22153600,1.21871800,1.21803000,1.21792500,1.21785400
10.375940,1.25904700,1.24051700,1.22965400,1.23111400,1.23003800,1.22935400,1.22923200,1.22914400
10.413530,1.27043200,1.25031800,1.24181100,1.24233400,1.24365300,1.24318900,1.24308500,1.24300400
10.451130,1.28212400,1.26043400,1.25467800,1.25410000,1.25671900,1.25677100,1.25673700,1.25669900
10.488720,1.29596800,1.26705400,1.26700600,1.26422600,1.26637600,1.26693200,1.26699900,1.26703000
10.526310,1.31085800,1.26859200,1.27723500,1.27133100,1.27270800,1.27318800,1.27328700,1.27335000
10.563910,1.32448600,1.27001400,1.28444900,1.27700300,1.27795300,1.27820100,1.27826900,1.27831700
10.601500,1.33578500,1.27463200,1.29178300,1.28585900,1.28556800,1.28581900,1.28587500,1.28591300
10.639100,1.34355900,1.27746000,1.30152600,1.29869600,1.29642800,1.29640200,1.29640800,1.29641500
