E[1] [eV],Re(eps)_nk_20,Re(eps)_nk_22,Re(eps)_nk_24,Re(eps)_nk_26,Re(eps)_nk_28,Re(eps)_nk_30,Re(eps)_nk_32,Re(eps)_nk_34,Re(eps)_nk_36,Re(eps)_nk_38,Re(eps)_nk_40
10.526310,1.27185200,1.24678600,1.25346500,1.28708600,1.27113000,1.26672000,1.27530000,1.25817600,1.26367200,1.26231600,1.27073400
10.563910,1.27157000,1.26245700,1.27015600,1.29794800,1.26266800,1.27168500,1.28045200,1.26561000,1.26852200,1.27231200,1.27830200
10.601500,1.27756400,1.27929900,1.28638500,1.30468200,1.25718900,1.27404400,1.28809400,1.27522600,1.27498000,1.28067100,1.28320500
10.639100,1.28302700,1.29509400,1.30043100,1.30324600,1.26021000,1.27632600,1.29884600,1.28299000,1.28108800,1.28885600,1.28550900
10.676690,1.28027100,1.30695100,1.30946800,1.29796200,1.27056100,1.28122200,1.30924200,1.28957400,1.28751900,1.29709800,1.28727500
10.714280,1.27224400,1.31136300,1.31111800,1.29776100,1.28501300,1.29017000,1.31411700,1.29640700,1.29466500,1.30646400,1.28922800
10.751880,1.26957600,1.31099300,1.31009100,1.30014400,1.30139000,1.30163100,1.31280500,1.30311500,1.30204400,1.31739800,1.29425600
10.789470,1.27510900,1.31536300,1.31364600,1.29875400,1.31758200,1.31244700,1.30991300,1.30966000,1.30820000,1.32570100,1.30300100
10.827070,1.28670100,1.32644800,1.32071200,1.29772600,1.33144300,1.31993100,1.30866300,1.31621700,1.31167800,1.32751900,1.31278300
10.864660,1.30169900,1.33936600,1.32680900,1.30061200,1.34106200,1.32529300,1.31123500,1.32395000,1.31470500,1.32396500,1.32210900
10.902250,1.31544700,1.34877500,1.32987800,1.30462900,1.34747600,1.33006900,1.31737700,1.33272900,1.32038200,1.32080800,1.33034500
10.939850,1.32347800,1.35243800,1.32960300,1.31096000,1.35286000,1.33184200,1.32314300,1.34147700,1.32870500,1.32247600,1.33692200
10.977440,1.32681800,1.35017400,1.32896700,1.32087800,1.35528500,1.33086300,1.32701600,1.34901200,1.33650500,1.32857800,1.34341500
11.015040,1.33084000,1.34228800,1.33198200,1.33394000,1.35382400,1.33316700,1.33247400,1.35276900,1.34274800,1.33577000,1.35079100
11.052630,1.33504900,1.33566200,1.34128900,1.34733100,1.35155300,1.34114900,1.34062500,1.35102200,1.34892900,1.34139900,1.35615400
11.090220,1.33668100,1.33704000,1.35426200,1.35600400,1.34988700,1.35149500,1.34894300,1.34786300,1.35602900,1.34440600,1.35673600
11.127820,1.33954700,1.34263200,1.36617500,1.35784300,1.34573100,1.36074800,1.35564600,1.34909200,1.36343300,1.34673800,1.35538700
11.165410,1.34645500,1.34951200,1.37583100,1.35693100,1.34014900,1.36873500,1.36107700,1.35417700,1.36862000,1.35068400,1.35564400
11.203010,1.35420400,1.35779100,1.38345800,1.35750000,1.34000300,1.37605600,1.36502800,1.35718300,1.37078700,1.35674000,1.35759900
11.240600,1.36078800,1.36440400,1.38709600,1.36079400,1.34548900,1.38184400,1.36567300,1.35537100,1.37211600,1.36380300,1.36027000
11.278190,1.36853100,1.36950700,1.38560100,1.36786500,1.35485700,1.38521300,1.36439100,1.35536000,1.37396000,1.37207400,1.36343400
11.315790,1.37851100,1.37595200,1.38290600,1.37869600,1.36832500,1.38649300,1.36855700,1.36336700,1.37675200,1.38216500,1.36751600
11.353380,1.38998700,1.38030300,1.38317400,1.39176200,1.38319500,1.38843700,1.38037300,1.37699200,1.38116500,1.39259000,1.37423700
11.390980,1.40371800,1.37964700,1.38415100,1.40617300,1.39557000,1.39294900,1.39584900,1.39289500,1.38857300,1.40350900,1.38471400
11.428570,1.41890100,1.38096900,1.38652700,1.42089500,1.40357100,1.39781900,1.41198700,1.40875300,1.39856600,1.41493400,1.39789700
11.466160,1.43303300,1.38994600,1.39587100,1.43315100,1.40924300,1.40151500,1.42818400,1.42226000,1.40780700,1.42557900,1.41243500
11.503760,1.44590500,1.40403900,1.41130500,1.44213800,1.41676200,1.40800500,1.44295700,1.43234900,1.41480200,1.43375600,1.42790800
11.541350,1.46069800,1.42040200,1.42894500,1.45056200,1.42803000,1.41945900,1.45344400,1.43997000,1.42374400,1.43903100,1.44362200
11.578950,1.47828700,1.43799500,1.44611100,1.46014200,1.44171200,1.43388700,1.45911000,1.44786000,1.43695200,1.44429200,1.45853200
11.616540,1.49657800,1.45629700,1.46062700,1.46874400,1.45736000,1.45029100,1.46394500,1.45817000,1.45217300,1.45349900,1.47230600
11.654130,1.51340500,1.47442400,1.47188500,1.47546500,1.47551200,1.46756500,1.47048400,1.47140400,1.46837900,1.46595700,1.48412000
11.691730,1.52607600,1.49067200,1.48291400,1.48069800,1.49531700,1.48370600,1.47710900,1.48704500,1.48570400,1.47663300,1.49292100
11.729320,1.53044900,1.50399000,1.49422900,1.48258500,1.51518200,1.49650500,1.48300700,1.50307200,1.50270400,1.48349700,1.49910600
11.766920,1.52502400,1.51543100,1.50164500,1.48446500,1.53328800,1.50446400,1.49044100,1.51703200,1.51685800,1.49130200,1.50518800
11.804510,1.51538300,1.52598300,1.50644700,1.49329400,1.54899100,1.51125500,1.50150800,1.52767600,1.52816800,1.50383000,1.51303300
11.842100,1.51228800,1.53914900,1.51364100,1.50994100,1.56259000,1.52273400,1.51598900,1.53721600,1.53931300,1.52133200,1.52412400
11.879700,1.51948300,1.55813600,1.52396800,1.53119700,1.57047500,1.53929300,1.53400200,1.54899500,1.55214700,1.54204200,1.53795900
11.917290,1.53524700,1.58116900,1.53813600,1.55370000,1.57028400,1.55870600,1.55442500,1.56087600,1.56684600,1.56275500,1.55232800
11.954890,1.55433900,1.60484600,1.55750600,1.57601800,1.56995100,1.57904600,1.57431500,1.56943600,1.58226800,1.58139600,1.56588400
11.992480,1.57084000,1.62491100,1.58046600,1.59717700,1.57489500,1.59993800,1.59177100,1.57637600,1.59497000,1.59873600,1.57940400
12.030070,1.58477500,1.63699700,1.60350500,1.61270100,1.57989300,1.62164600,1.60546100,1.58607300,1.60324400,1.61611600,1.59321500
12.067670,1.60066600,1.64112300,1.62408000,1.61737500,1.58529800,1.64208800,1.61571400,1.59957100,1.60993600,1.63185500,1.60715200
