#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       1.03385067        -14.7312641        -9.02081871        -5.91937828       -0.397259563         6.52928734         13.5485201         13.9789391         14.5918446        0.399999768        0.199999765         0.00000000   
       1.05601680        -14.6847630        -8.94610596        -6.14193535       -0.323875278         6.52141333         13.7797928         13.8607883         14.7454319        0.391666442        0.216666356         0.00000000   
       1.07818294        -14.6393175        -8.86781788        -6.35797691       -0.251342028         6.50556231         13.9321461         13.8028641         14.9208460        0.383333057        0.233333066         0.00000000   
       1.10034907        -14.5962667        -8.79179001        -6.55682087       -0.183583349         6.48258638         13.9595785         13.8659496         15.0992937        0.374999732        0.249999717         0.00000000   
       1.12251520        -14.5571175        -8.71566868        -6.74006224       -0.120866194         6.45878601         13.8683271         14.0304899         15.2803783        0.366666347        0.266666353         0.00000000   
       1.14468122        -14.5235310        -8.64103794        -6.90317583       -0.660407171E-1      6.43435431         13.7477303         14.2077618         15.4710302        0.358333051        0.283332974         0.00000000   
       1.16684735        -14.4972773        -8.57978535        -7.03087664       -0.228017978E-1      6.41111851         13.6946030         14.3107948         15.6630468        0.349999696        0.299999595         0.00000000   
       1.18901348        -14.4801998        -8.54056454        -7.11173820        0.547605054E-2      6.39477396         13.6936979         14.3580656         15.8079605        0.341666341        0.316666275         0.00000000   
       1.21117961        -14.4741192        -8.52692699        -7.13972950        0.155470241E-1      6.38854837         13.6978025         14.3766642         15.8615866        0.333332986        0.333332956         0.00000000     [K]
       1.23334575        -14.4807320        -8.53799629        -7.11350155        0.445599854E-2      6.39625549         13.6925573         14.3516140         15.8080664        0.324999660        0.324999630         0.00000000   
