#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       1.05601680        -14.1063805        -8.39983845        -6.14224148       -0.323809803         4.81662464         12.4743690         12.9119005         13.5740929        0.391666442        0.216666356         0.00000000   
       1.07818294        -14.0609341        -8.32155037        -6.35826302       -0.251292855         4.80077934         12.6267414         12.8539743         13.7494688        0.383333057        0.233333066         0.00000000   
       1.10034907        -14.0178833        -8.24552250        -6.55708838       -0.183548793         4.77780771         12.6541910         12.9170551         13.9278822        0.374999732        0.249999717         0.00000000   
       1.12251520        -13.9787350        -8.16940117        -6.74031448       -0.120843917         4.75400925         12.5629568         13.0815926         14.1089382        0.366666347        0.266666353         0.00000000   
       1.14468122        -13.9451475        -8.09476948        -6.90341568       -0.660284832E-1      4.72958040         12.4423742         13.2588673         14.2995663        0.358333051        0.283332974         0.00000000   
       1.16684735        -13.9188938        -8.03351784        -7.03110743       -0.227974523E-1      4.70634651         12.3892593         13.3618994         14.4915648        0.349999696        0.299999595         0.00000000   
       1.18901348        -13.9018164        -7.99429750        -7.11196280        0.547495438E-2      4.69000340         12.3883610         13.4091702         14.6364689        0.341666341        0.316666275         0.00000000   
       1.21117961        -13.8957357        -7.98065948        -7.13995266        0.155438343E-1      4.68377781         12.3924694         13.4277697         14.6900911        0.333332986        0.333332956         0.00000000     [K]
       1.23334575        -13.9023485        -7.99172926        -7.11372662        0.445500296E-2      4.69148445         12.3872204         13.4027185         14.6365747        0.324999660        0.324999630         0.00000000   
       1.25551188        -13.9231024        -8.01378441        -7.04494667       -0.303226840E-1      4.71742201         12.3979425         13.2939587         14.5152254        0.316666335        0.316666245         0.00000000   
       1.27767801        -13.9590673        -8.03346729        -6.94559622       -0.901765004E-1      4.76578140         12.4660139         13.0512743         14.4106894        0.308333009        0.308332980         0.00000000   
       1.29984415        -14.0108280        -8.04127979        -6.82377386       -0.175972566         4.83688402         12.5112734         12.7572021         14.3104601        0.299999684        0.299999654         0.00000000   
       1.32201028        -14.0784264        -8.02867985        -6.68789864       -0.286778301         4.93145657         12.3874702         12.5681057         14.0973167        0.291666359        0.291666329         0.00000000   
       1.34417641        -14.1613646        -7.99338341        -6.54162455       -0.419811279         5.05293989         12.0857525         12.4847946         13.7394257        0.283333033        0.283332944         0.00000000   
       1.36634254        -14.2586451        -7.93456841        -6.38664961       -0.572629273         5.19871378         11.7156563         12.3822432         13.3162460        0.274999708        0.274999678         0.00000000   
       1.38850868        -14.3688841        -7.85067081        -6.22547579       -0.742781103         5.36481905         11.3435240         12.1943007         12.8861275        0.266666383        0.266666353         0.00000000   
